S No,Passion,Skill,Course/Degree,Institution,Training/Programme
120,Cricket Coaching,Fashion Tailoring,Diploma Tailoring,NSDC Training Centers (Dept. of CS),NSDC - Apparel Skills
121,Comic Book Art,Concepts of Cabin Crew,Diploma Aviation (Honours),Frankfinn Institute,PMKVY - Cabin Crew Training
122,Cybersecurity,Machine Learning,MBA (IT),Indian Montessori Training,Coursera - Machine Learning Specialization
123,Aromatherapy,Holistic Wellness,Diploma Aromatherapy,Delhi Technological University,NSDC - Alternative Therapy
124,Linguistics,Orthodontics,MDS,Maulana Azad Institute,NPTEL - Oral Health Sciences (Certificate)
125,Literature,Applied Store Operations,BBA Retail (Honours),NRAI Certified Colleges,NSDC - Retail Training
126,Radio Production,Radio Programming,Diploma Radio - Specialization,Indian Institute of Mass Communication,NPTEL - Radio Broadcasting
127,Mobile Development,Concepts of Fiction Writing,Certificate Creative Writing - Specialization,British Council India,NPTEL - Creative Writing
128,Radiology,CT/MRI Technology - Intermediate,Diploma Radiology - Specialization,IGNOU,Microsoft Learn - Government Hospital Training
129,Patent Law,Patent Drafting,PG Diploma Patent Law,IIT Kharagpur,SWAYAM - IP Management (Certificate)
130,Cybersecurity,Data Analysis,B.Sc Computer Science - Specialization,IGEP Ahmedabad,Udemy - Data Analysis Specialization
131,Translation,Applied Network Penetration,Advanced Diploma Cybersecurity,Indian Cyber Security Solutions,Udemy - Cybersecurity Training
132,Quantum Computing,Quantum Algorithms,M.Tech Quantum Computing (Honours),IISc Bangalore,NPTEL - Quantum Computing
133,Spa Management,Ayurveda Therapy + Book Design,Certificate Ayurveda,Arya Vaidya Sala,SWAYAM - Government Ayush Programs
134,Ayurveda,Museum Studies + Cognitive Science,Certificate Swimming Coaching,Tamil Nadu Dr MGR Medical University,edX - Government Naturopathy Programs
135,Aviation,Pilot Training + TV Series Writing,Commercial Pilot License,Indira Gandhi Rashtriya Uran Akademi,Simplilearn - DGCA Approved Training
136,Football Coaching,Football Training,Diploma Football Coaching,Tata Football Academy,AIFF Coaching License
137,Pharmaceutical Science,Clinical Trials,PG Diploma Clinical Research,ACRF Delhi,NSDC - Clinical Research
138,Siddha Medicine,Traditional Medicine,MD Siddha,Tamil Nadu Dr MGR Medical University,Microsoft Learn - Government Siddha Training
139,Geology,Petroleum Geology,M.Sc Geology,IIT Roorkee,ONGC Training Programs
140,Sociology,Urban Sociology,M.A Sociology,JNU Delhi,SWAYAM - Sociological Perspectives
141,Theatre Arts,Acting,Diploma Acting,National School of Drama,NPTEL - Theatre Arts
142,Sports Science,Hands-on Clinical Practice,MBBS,AIIMS Delhi,WHO Basic Life Support Training
143,Law,Corporate Law,LLB - Specialization,National Law School Bangalore,edX - Introduction to Law
144,Urban Planning,Cabin Crew + Aerodynamics,Diploma Aviation (Honours),IIT Roorkee,PMKVY - Cabin Crew Training (Certificate)
145,Architecture,Food & Beverage - Intermediate,BHM,IHM Delhi,PMKVY - F&B Service Training
146,Data Science,Cloud Computing,BCA - Specialization,Satyajit Ray Film Institute,Udemy - Cloud Computing Specialization
147,Horticulture,Plant Science + Solar Installation,B.Sc Horticulture,University of Hyderabad,NSDC - Horticulture Training
148,DevOps,NLP,MBA (IT),SVYASA Bangalore,Pluralsight - NLP Specialization
149,Mechanical Engineering,Comedy Writing - Basics,Workshop Comedy,The Comedy Factory,edX - Online Comedy Masterclass
150,DevOps,Data Analysis,Diploma in AI & ML - Specialization,CIIL Mysore,NPTEL - Data Analysis Specialization
151,Interior Design,Network Security - Intermediate,M.Tech Network Security (Honours),Anna University,NPTEL - Cryptography & Network Security
152,Microbiology,Industrial Microbiology,M.Tech Microbiology,Anna University,PMKVY - Laboratory Technician
153,Accounting,Financial Accounting + Traditional Acupuncture,B.Com Accounting,Hindu College Delhi,Microsoft Learn - Tally Accounting
154,Leather Work,Leather Crafting + Heritage Conservation,ITI Leather Goods Making (Honours),IIT Kharagpur,PMKVY - Leather Goods Maker
155,Virtual Reality,Concepts of VR Game Development,B.Tech VR - Specialization,Amity University,Unreal VR Development Course
156,Dance,Traditional Medicine,MD Siddha (Honours),Tamil Nadu Dr MGR Medical University,Coursera - Government Siddha Training
157,Aromatherapy,Pain Management,Certificate Acupuncture (Honours),All India Institute of Ayurveda,NSDC - Wellness Therapy
158,Event Management,Corporate Events + Secondary Education,MBA Event Management,NAEMD Mumbai (Dept. of CS),PMKVY - Event Planning (Certificate)
159,Physics,Astrophysics,M.Sc Physics,Indian Institute of Astrophysics,SWAYAM - Astronomy
160,Photography,Astrophysics,M.Sc Physics,Indian Institute of Astrophysics,SWAYAM - Astronomy
161,Radio Production,Information Security,M.Sc Cybersecurity,IIT Kanpur,Udemy - Information Security
162,Space Technology,Satellite Engineering,M.Tech Aerospace,IIT Bombay,Google - ISRO Training Programs
163,Radio Production,Radio Programming,Diploma Radio,IIT BHU,Simplilearn - Radio Broadcasting
164,Publishing,Naturopathy,BNYS - Specialization,SDM College of Naturopathy,Government Naturopathy Programs
165,Criminology,Practical Criminal Justice,LLM Criminal Law,NLSIU Bangalore (Dept. of CS),SWAYAM - Criminal Justice
166,Fashion Design,Plant Pathology + AWS,M.Sc Botany,Presidency College Chennai,Simplilearn - Plant Science
167,Radio Production,Industrial Microbiology,M.Tech Microbiology (Honours),Anna University,Pluralsight - Laboratory Technician
168,Artificial Intelligence,Machine Learning + Urban Planning,M.Tech AI (Honours),University of Hyderabad,NPTEL - Introduction to Machine Learning (Certificate)
169,Actuarial Science,Painting,BFA (Honours),Delhi Technological University,Government Art Workshop
170,Chemistry,Astrophysics - Intermediate,M.Sc Physics,Indian Institute of Astrophysics,NPTEL - Astronomy
171,Renewable Energy,Biomass Energy,M.Tech Renewable Energy (Honours),Anna University,MNRE Biomass Training
172,Voice Acting,Dubbing + Tour Operations,Certificate Voice Acting (Honours),Anjali Dubbing Studios (Dept. of CS),Pluralsight - Voice Over Artist
173,Psychology,Counseling,M.Phil Clinical Psychology,NIMHANS Bangalore,PMKVY - Counseling Skills
174,Meteorology,Poultry Farming + Store Operations,B.Sc Poultry Science,Kerala Veterinary University,PMKVY - Poultry Farming
175,Physics,Naturopathy,BNYS,SDM College of Naturopathy (Dept. of CS),Pluralsight - Government Naturopathy Programs
176,Psychology,Concepts of Composite Materials,PhD Materials Engineering (Honours),IISc Bangalore (Dept. of CS),Simplilearn - Material Engineering
177,Tax Law,Direct Taxation + Aerial Photography,LLM Tax Law - Specialization,IIT Roorkee,NPTEL - Taxation Laws
178,Embedded Systems,Python Programming,B.Tech Electronics,Indian Agricultural Research Institute,Udemy - Python Programming Specialization
179,Hotel Management,Intro to Petroleum Geology,M.Sc Geology (Honours),SRM Institute,ONGC Training Programs
180,Nutrition,Practical Brand Messaging,Diploma Copywriting,MICA Ahmedabad,PMKVY - Content Creation
181,History,Molecular Biology + Live Sound,B.Sc Biology - Specialization,St. Stephens College (Dept. of CS),NPTEL - Cell Biology (Certificate)
182,Content Writing,Renewable Energy + Court Interpretation,M.Tech Power,NIT Surathkal,Microsoft Learn - Solar Technician Training
183,Voice Acting,Community Planning - Basics,PGDM Rural Management - Specialization,IRMA Anand,edX - DDU-GKY Training
184,Product Management,Machine Learning,M.Tech CSE (Honours),BITS Pilani,Microsoft Learn - Machine Learning Specialization
185,Tailoring,UAV Operations,Diploma Drone Technology - Specialization,Drone Destination,DGCA Remote Pilot License
186,Banking Law,Securities Law,PG Diploma Securities Law,NISM Mumbai,NISM Certifications
187,Robotics,Robot Programming + Story Boarding,B.Tech Robotics (Honours),Manipal University,edX - Robotics
188,Film Making,Property Management + Employment Law,BBA Real Estate,RICS School of Built Environment,SWAYAM - Real Estate Skills
189,Waste Management,Fire Engineering + Professional Cooking,Diploma Fire Safety,National Fire Service College (Dept. of CS),NSDC - Fire Safety Training
190,Animation,Garment Stitching - Essentials,ITI Dress Making - Specialization,Government ITI (Dept. of CS),PMKVY - Tailor Training (Certificate)
191,Sociology,Medical Imaging + Radio Jockey,B.Sc Radiology,Manipal University (Dept. of CS),Microsoft Learn - Radiology Technician
192,Water Management,Water Conservation,Diploma Water Management (Honours),CEPT Ahmedabad,Udemy - Government Water Programs
193,Geology,Computer Vision - Advanced,M.Tech in Computer Vision,Anna University,Microsoft Learn - Computer Vision
194,Food Technology,Quality Control,M.Tech Food Technology,CFTRI Mysore,PMKVY - Food Processing
195,Environmental Engineering,Social Research,B.A Sociology,Delhi School of Economics,NPTEL - Introduction to Sociology (Certificate)
196,Calligraphy,Leather Crafting,ITI Leather Goods Making (Honours),NIT Trichy,PMKVY - Leather Goods Maker
197,Comic Book Art,Sports Rehabilitation - Professional,BPT - Specialization,Delhi Technological University,NSDC - Physiotherapy Assistant (Certificate)
198,Artificial Intelligence,Machine Learning,BCA - Specialization,MS University Baroda,Pluralsight - Machine Learning Specialization
199,Copywriting,Strategic Management,MBA,IIT Roorkee,NPTEL - Business Strategy
200,Renewable Energy,Hydropower,B.Tech Energy Engineering,NIT Hamirpur,NPTEL - Renewable Energy
201,Literature,Comparative Literature,M.A English,Delhi University,SWAYAM - Literary Studies
202,Aerospace Engineering,Aircraft Design,B.Tech Aerospace,IIT Kanpur (Dept. of CS),NPTEL - Aerospace Engineering
203,Martial Arts,Applied Solar Installation,Diploma Solar Technology - Specialization,MNRE Approved Institutes,PMKVY - Solar Technician
204,Horticulture,Plant Science - Professional,B.Sc Horticulture,Tamil Nadu Agricultural University,Pluralsight - Horticulture Training
205,Medical Biotechnology,Tissue Engineering,PhD Biotechnology,IIT Kharagpur,Google - Biomedical Engineering
206,Literature,Clinical Pharmacy - Professional,M.Pharm,NIPER Mohali,PMKVY - Pharmacy Technician Course (Certificate)
207,Data Science,Big Data Analytics,PG Diploma Big Data,IIIT Bangalore,PMKVY - Big Data Training
208,Culinary Arts,Data Analytics + Marine Biology,B.Sc Data Science,BITS Pilani,SWAYAM - Data Analytics Training
209,Comic Book Art,Illustration - Basics,Diploma Comics - Specialization,Arena Animation (Dept. of CS),Udemy - Illustration Skills
210,Neuroscience,Pathology,Diploma MLT (Honours),IGNOU,NSDC - Laboratory Skills
211,Audio Engineering,Live Sound,Certificate Audio Engineering,SAE Institute,NSDC - Sound Engineering
212,Siddha Medicine,Traditional Medicine,MD Siddha,Tamil Nadu Dr MGR Medical University,Government Siddha Training
213,Nursing,Sports Psychology - Fundamentals,M.Sc Sports Science,Punjabi University,NPTEL - Sports Coach
214,Badminton Coaching,Advanced Techniques,Certificate Badminton Coaching - Specialization,Pullela Gopichand Academy,NSDC - Badminton Coach
215,Chemistry,Space Science + Footwear Making,M.Sc Space Science (Honours),Physical Research Laboratory,NPTEL - Satellite Technology
216,Dentistry,Applied Emergency Response,PG Diploma Disaster Management - Specialization,NIDM Delhi,Simplilearn - Disaster Management
217,Interior Design,Space Planning,B.Des Interior Design (Honours),NIFT Delhi,Udemy - Interior Designer Training
218,Social Work,Unani Practice - Intermediate,BUMS (Honours),Delhi Technological University,AYUSH Unani Programs
219,Dentistry,Hands-on Sports Nutrition,B.Sc Sports Science (Honours),IIT BHU,NSDC - Sports Nutrition
220,Literature,Comparative Literature + Ecology,M.A English,Delhi University (Dept. of CS),SWAYAM - Literary Studies (Certificate)
221,Pottery,Clay Modeling,Diploma Pottery,National Institute of Design,Government Craft Programs
222,Bioinformatics,Genomics,M.Tech Bioinformatics,BITS Pilani,SWAYAM - Computational Biology
223,Cybersecurity,NLP,Diploma in AI & ML (Honours),Manipal College of Dental Sciences,Google - NLP Specialization
224,Fashion Design,Textile Design,M.Des Fashion Design,Pearl Academy,PMKVY - Apparel Training
225,Mobile Development,Concepts of Acting,Diploma Acting,National School of Drama,NPTEL - Theatre Arts
226,Mobile Development,iOS Development,BCA,Christ University,Udemy - iOS App Development
227,Comic Book Art,Story Boarding,Certificate Comics,BITS Pilani,PMKVY - Animation Art
228,Embedded Systems,Cloud Computing,B.Tech Electronics - Specialization,Indira Gandhi Rashtriya Uran Akademi,Microsoft Learn - Cloud Computing Specialization
229,Business Management,Strategic Management,MBA - Specialization,IIM Ahmedabad,edX - Business Strategy
230,Palmistry,Vehicle Design + Property Management,B.Tech Automobile,NIT Trichy,Pluralsight - Automotive Engineering
231,Film Making,Intro to Wildlife Biology,M.Sc Zoology,Delhi University,WWF Wildlife Training
232,Linguistics,Forest Management,M.A History (Honours),Delhi Technological University,Government Agriculture Programs (Certificate)
233,Electrical Engineering,Hatchery Management + Tattoo Design,Diploma Poultry (Honours),NIT Trichy,Simplilearn - Poultry Skills
234,Dance,Dubbing + Insurance Mathematics,Certificate Voice Acting,Anjali Dubbing Studios,PMKVY - Voice Over Artist
235,Plumbing,Sanitation Systems,Diploma Plumbing,NSDC Training Centers,NSDC - Plumbing Skills
236,Content Writing,Technical Writing,M.A English,JNU Delhi,NPTEL - English Communication
237,Unani Medicine,Unani Practice,BUMS (Honours),Aligarh Muslim University,Coursera - AYUSH Unani Programs
238,Cybersecurity,Embedded C,Diploma in AI & ML (Honours),Physical Research Laboratory,NPTEL - Embedded C Specialization
239,Biotechnology,Genetic Engineering,B.Tech Biotechnology,IIT Kharagpur,NPTEL - Biotechnology
240,Numerology,Hands-on Numerology Consultation,Certificate Numerology (Honours),Institute of Vedic Astrology,Online Numerology Course
241,Philosophy,Logic,M.A Philosophy,JNU Delhi,SWAYAM - Indian Philosophy
242,Software Development,Python Programming,B.Tech Information Technology - Specialization,Chess Gurukul,NPTEL - Python Programming Specialization
243,Publishing,Online Business + Story Boarding,BBA E-commerce,Christ University,Simplilearn - E-commerce Operations
244,Yoga Therapy,Intro to Clinical Yoga,M.Sc Yoga Therapy,SVYASA Bangalore,Government Yoga Training
245,Television Production,Organizational Development,MBA HR,XLRI Jamshedpur,Microsoft Learn - HR Skills
246,Environmental Engineering,Waste Management,B.Tech Environmental,IIT Delhi,NPTEL - Environmental Science
247,Medical Science,Bioinformatics,M.Tech in Biotechnology,JNU Delhi,SWAYAM - Bioinformatics
248,Football Coaching,Goalkeeping,Certificate Football Coaching,Sports Authority of India,NSDC - Football Coach
249,Tourism,Travel Management,B.Sc Tourism,IGNOU,NPTEL - Tourism Management
250,Bioinformatics,Computational Biology - Advanced,M.Sc Bioinformatics,JNU Delhi (Dept. of CS),NPTEL - Bioinformatics
251,Spa Management,Ayurveda Therapy,Certificate Ayurveda,Arya Vaidya Sala,Government Ayush Programs
252,Music Production,Applied Learning Disabilities,B.Ed Special Education (Honours),RCI Approved Institutes (Dept. of CS),Pluralsight - Special Educator Training
253,Video Editing,YouTube Content + Health Policy,Certificate Video Editing - Specialization,Arena Animation,Adobe Premiere Pro Training
254,Horticulture,Ayurvedic Medicine,BAMS,Madras Christian College,Pluralsight - AYUSH Ayurveda Programs
255,Journalism,Practical Simultaneous Interpretation,Certificate Interpretation,CIIL Mysore,Udemy - Government Translation Services
256,Cybersecurity,Network Security,M.Tech Network Security,Anna University,Coursera - Cryptography & Network Security
257,Water Management,Robot Programming,B.Tech Robotics,Manipal University,Pluralsight - Robotics
